window,bars,n_windows,mean_auc,std_auc,min_auc,max_auc
7d,42,451,0.5116617502458211,0.044759249997027115,0.4139626352015733,0.5892428711897739
14d,84,225,0.48413005689001265,0.058357878859239015,0.4140328697850822,0.5990044247787611
30d,180,105,0.5121915820029028,0.08044102913531866,0.3461538461538462,0.6676342525399129
